id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,room_type_number
1201508824191809746,São Cristóvão,Entire home/apt,4,2,3,3,600.0,0,4.812309491059147,0
1201509242234039988,Recreio dos Bandeirantes,Entire home/apt,3,1,0,2,412.0,5,3.8,0
1201509632062700255,Copacabana,Private room,4,1,1,1,443.0,0,4.812309491059147,2
1201532227555531164,Centro,Entire home/apt,2,1,1,1,315.0,15,4.87,0
1198779185035198141,Recreio dos Bandeirantes,Private room,2,1,1,2,300.0,2,5.0,2
1198793833151905043,Copacabana,Entire home/apt,2,1,1,1,438.0,6,3.83,0
1198811624369484019,Jacarepaguá,Entire home/apt,4,1,1,1,550.0,2,5.0,0
1198815806531849094,Camorim,Entire home/apt,2,1,1,1,357.0,9,5.0,0
1198934057447677330,Botafogo,Private room,3,0,1,2,304.0,4,5.0,2
1199137970364861301,Copacabana,Entire home/apt,4,1,1,2,1000.0,0,4.812309491059147,0
1199185725201661043,Centro,Entire home/apt,4,1,1,2,659.0,25,4.88,0
1199195280286141309,Recreio dos Bandeirantes,Entire home/apt,4,1,1,1,419.0,9,4.56,0
1199212648979051987,Centro,Entire home/apt,2,1,1,1,360.0,6,5.0,0
1201552924601649435,Copacabana,Entire home/apt,3,1,1,2,1003.0,22,4.86,0
1201557030740409249,Botafogo,Entire home/apt,2,1,1,1,427.0,12,4.92,0
1201564842292726107,Curicica,Entire home/apt,3,1,1,1,549.0,6,4.83,0
1201573659903867425,Barra da Tijuca,Private room,3,1,1,1,270.0,2,5.0,2
1201615878972942300,Flamengo,Entire home/apt,5,1,0,2,686.0,32,4.97,0
1201624556601502258,Copacabana,Entire home/apt,4,1,1,2,887.0,11,5.0,0
1201679300167142087,Botafogo,Entire home/apt,5,3,2,4,507.0,17,4.94,0
1201732819949366362,Copacabana,Entire home/apt,4,1,2,3,829.0,2,5.0,0
1201737425509078081,Barra da Tijuca,Private room,3,1,1,1,1029.0,0,4.812309491059147,2
1201756973227123710,Copacabana,Entire home/apt,7,3,2,4,1148.0,0,4.812309491059147,0
1201991515039777418,Recreio dos Bandeirantes,Entire home/apt,7,1,2,3,780.0,9,4.89,0
1199226026029049143,Vargem Pequena,Private room,2,1,1,1,300.0,0,4.812309491059147,2
1199237774736807498,Vargem Pequena,Private room,2,1,1,1,250.0,1,5.0,2
1199240427566298132,Copacabana,Private room,2,1,1,2,136.0,33,4.88,2
1199252224056957755,Centro,Entire home/apt,2,1,1,1,460.0,9,5.0,0
1199289256791943283,Copacabana,Entire home/apt,4,2,1,2,1043.0,10,4.9,0
1199296470076345242,Ipanema,Entire home/apt,6,1,2,3,1091.0,4,5.0,0
1199297267932154897,Copacabana,Entire home/apt,4,1,1,2,607.0,5,5.0,0
1199353223749472753,Copacabana,Entire home/apt,6,1,1,4,873.0,2,3.5,0
1202083004099436939,Copacabana,Entire home/apt,6,1,2,4,1280.0,1,5.0,0
1202104032798650869,Centro,Entire home/apt,2,1,1,1,334.0,12,5.0,0
1199361149963343724,Centro,Entire home/apt,2,1,1,1,460.0,14,4.93,0
1199364733714913294,Copacabana,Entire home/apt,2,1,1,1,731.0,27,4.93,0
1199393633778742827,Copacabana,Entire home/apt,4,1,0,2,1343.0,1,5.0,0
1199395807175265056,Glória,Entire home/apt,4,1,0,2,1274.0,30,4.87,0
1199410840983288396,Copacabana,Entire home/apt,4,1,1,2,583.0,6,5.0,0
1199414257874090033,Copacabana,Entire home/apt,3,1,1,2,523.0,8,4.88,0
1199418668293159731,Leblon,Entire home/apt,8,3,3,7,1304.0,2,5.0,0
1199419404117006798,Copacabana,Entire home/apt,2,1,1,1,650.0,3,5.0,0
1199423628286753563,Barra da Tijuca,Entire home/apt,4,2,2,3,978.0,11,4.73,0
1199434333637135866,Copacabana,Entire home/apt,3,1,1,2,869.0,17,4.65,0
1199437183465314069,Ipanema,Entire home/apt,2,1,1,2,1025.0,16,4.94,0
1199445672164313828,Copacabana,Entire home/apt,4,2,2,2,748.0,15,5.0,0
1199451597931277408,Copacabana,Entire home/apt,4,2,2,3,863.0,0,4.812309491059147,0
1199481455348230360,Barra da Tijuca,Entire home/apt,5,1,2,2,985.0,0,4.812309491059147,0
1199497267933788294,Copacabana,Private room,1,1,1,1,407.0,0,4.812309491059147,2
1199535084693502317,Jacarepaguá,Entire home/apt,2,1,1,1,390.0,10,5.0,0
1199539392037252202,Barra da Tijuca,Private room,1,2,1,1,300.0,1,5.0,2
1202127104187342372,Copacabana,Private room,1,1,1,1,118.0,0,4.812309491059147,2
